ID,Group,Categories,ID_NEW
8900,Book,3,183.0
8901,Book,4,184.0
8938,Music,5,185.0
8986,Book,3,186.0
9033,Music,6,187.0
9037,Music,3,188.0
9060,Book,1,189.0
9159,Music,3,190.0
9185,Book,4,191.0
9186,Book,4,192.0
9376,Music,6,193.0
9378,Music,5,194.0
9384,Book,1,195.0
9512,Music,7,196.0
9556,Book,2,197.0
9658,Book,3,198.0
9663,Book,4,199.0
9687,Book,1,200.0
9688,Book,12,201.0
9723,Book,2,202.0
9767,Book,4,203.0
9804,DVD,23,204.0
9863,Book,2,205.0
10024,Book,1,206.0
10043,Book,5,207.0
10049,Book,2,208.0
10098,Music,6,209.0
10104,Music,4,210.0
10127,Book,5,211.0
10128,Book,1,212.0
10218,Book,4,213.0
10219,Book,2,214.0
10442,Book,6,215.0
10712,Book,3,216.0
10775,Book,6,217.0
10817,Book,2,218.0
10848,Book,2,219.0
10887,Music,1,220.0
10951,Video,11,221.0
10975,Video,3,222.0
10999,Book,4,223.0
11082,Book,3,224.0
11182,Music,6,225.0
11253,Music,2,226.0
11255,Book,9,227.0
11264,Music,4,228.0
11389,Book,0,229.0
11390,Book,0,230.0
11395,Book,4,231.0
11396,Book,12,232.0
11464,Music,4,233.0
11660,Toy,8,234.0
11719,Book,1,235.0
11795,Music,5,236.0
11829,Music,2,237.0
11837,Book,1,238.0
11933,Music,3,239.0
11979,Book,4,240.0
12005,Book,5,241.0
12009,Book,8,242.0
12013,Book,0,243.0
12074,Book,6,244.0
12102,Book,7,245.0
12112,Book,2,246.0
12121,Book,0,247.0
12252,Book,7,248.0
12542,Book,12,249.0
12552,Book,3,250.0
12574,Book,5,251.0
12577,Book,1,252.0
12668,Book,4,253.0
12700,Book,1,254.0
12738,Book,4,255.0
12757,Music,4,256.0
12771,Book,1,257.0
12785,Music,5,258.0
12859,Music,3,259.0
12871,Book,4,260.0
13079,Book,1,261.0
13151,Book,2,262.0
13259,Music,1,263.0
13295,Book,4,264.0
13340,Video,8,265.0
13427,Video,4,266.0
13539,Book,3,267.0
13573,Music,3,268.0
13588,Music,10,269.0
13609,Book,4,270.0
13622,Music,3,271.0
13761,Book,0,272.0
13767,Music,3,273.0
13789,Book,9,274.0
13796,Book,4,275.0
13840,Music,5,276.0
13955,Music,3,277.0
13982,Book,2,278.0
13999,Music,3,279.0
14156,Book,2,280.0
14255,Book,4,281.0
14282,Book,1,282.0
14310,Book,12,283.0
14367,Book,6,284.0
14433,Music,10,285.0
14557,Book,2,286.0
14666,Book,3,287.0
14667,Music,7,288.0
14726,Book,4,289.0
14827,Book,1,290.0
14902,Book,0,291.0
15095,Music,6,292.0
15189,Book,3,293.0
15191,Book,3,294.0
15222,Book,3,295.0
15234,Book,4,296.0
15237,DVD,2,297.0
15304,Book,4,298.0
15305,Book,4,299.0
15450,Book,2,300.0
15485,Book,0,301.0
15534,Book,2,302.0
15592,Music,2,303.0
15647,Book,5,304.0
15777,Music,5,305.0
15838,Book,4,306.0
15854,Book,9,307.0
15966,Book,3,308.0
15972,Book,4,309.0
16003,Book,3,310.0
16009,Book,2,311.0
16035,Book,1,312.0
16052,Book,2,313.0
16164,Video,4,314.0
16213,Book,4,315.0
16231,DVD,11,316.0
16288,Book,2,317.0
16372,Book,1,318.0
16414,Book,4,319.0
16454,Book,2,320.0
16563,Music,6,321.0
16564,Book,5,322.0
16756,Book,4,323.0
16785,Book,2,324.0
16794,DVD,10,325.0
16807,Book,3,326.0
16810,Music,2,327.0
16852,Book,2,328.0
16854,Book,3,329.0
16968,Music,4,330.0
16977,Book,3,331.0
17068,Book,4,332.0
17103,Book,2,333.0
17129,Book,3,334.0
17205,Music,8,335.0
17220,Book,6,336.0
17290,Book,9,337.0
17311,Video,2,338.0
17331,Book,5,339.0
17416,Book,2,340.0
17490,Book,0,341.0
17529,Music,11,342.0
17616,Book,2,343.0
17697,Book,2,344.0
17744,Book,1,345.0
17758,Book,2,346.0
17807,Book,2,347.0
17870,Music,5,348.0
17909,Music,6,349.0
17924,Music,7,350.0
17947,Book,4,351.0
17997,DVD,5,352.0
18036,Book,5,353.0
18062,Book,3,354.0
18087,Book,6,355.0
18121,Book,1,356.0
18249,Book,2,357.0
18346,Book,5,358.0
18347,Video,2,359.0
18348,Music,3,360.0
18403,Book,6,361.0
18576,Book,5,362.0
18736,Book,3,363.0
18768,Book,3,364.0
18857,Book,0,365.0
18923,Book,4,366.0
18924,Book,2,367.0
18937,Music,6,368.0
18946,Book,5,369.0
19024,Book,2,370.0
19095,Book,8,371.0
19100,Book,8,372.0
19236,Book,0,373.0
19249,Book,3,374.0
19344,Book,1,375.0
19356,Book,8,376.0
19390,Book,2,377.0
19433,Book,2,378.0
19452,Video,21,379.0
19454,Book,3,380.0
19612,Book,1,381.0
19945,Book,4,382.0
20007,Book,4,383.0
20069,Book,2,384.0
20101,Book,2,385.0
20159,Music,5,386.0
20167,Video,14,387.0
20193,Book,4,388.0
20233,Book,2,389.0
20294,DVD,11,390.0
20308,Book,0,391.0
20309,Video,9,392.0
20421,Book,5,393.0
20466,Book,2,394.0
20699,Book,6,395.0
20700,Book,1,396.0
20804,Music,24,397.0
20858,Book,2,398.0
21171,Music,2,399.0
21191,Book,2,400.0
21199,Book,3,401.0
21210,Book,3,402.0
21309,Book,5,403.0
21411,Music,6,404.0
21627,Book,2,405.0
21653,Book,2,406.0
21697,Book,3,407.0
21728,Book,1,408.0
21743,Music,4,409.0
21860,Book,9,410.0
21963,Book,7,411.0
21964,Book,2,412.0
21998,Book,4,413.0
22098,Book,5,414.0
22141,Music,2,415.0
22158,Book,1,416.0
22214,Book,1,417.0
22223,Book,4,418.0
22279,DVD,20,419.0
22311,Music,11,420.0
22395,Book,5,421.0
22447,Book,1,422.0
22478,Book,3,423.0
22530,Music,0,424.0
22555,Book,2,425.0
22695,Book,2,426.0
22764,Music,1,427.0
22776,Book,2,428.0
23103,Book,2,429.0
23365,Book,4,430.0
23368,Music,9,431.0
23437,Book,0,432.0
23546,Book,0,433.0
23557,Book,4,434.0
23618,Book,1,435.0
23788,Book,0,436.0
23789,Book,6,437.0
23857,Book,4,438.0
24036,Book,3,439.0
24097,Music,8,440.0
24110,Book,2,441.0
24156,Book,9,442.0
24321,Book,1,443.0
24379,Video,5,444.0
24383,Book,2,445.0
24385,Book,5,446.0
24507,Book,6,447.0
24624,Book,3,448.0
24636,Book,9,449.0
24648,Video,2,450.0
24662,Music,6,451.0
24683,Book,1,452.0
24798,Music,3,453.0
24804,DVD,8,454.0
24842,Book,8,455.0
24847,Music,3,456.0
24857,Book,2,457.0
24872,Music,2,458.0
24937,Book,0,459.0
24957,Book,2,460.0
25060,Book,5,461.0
25150,Book,6,462.0
25226,Book,3,463.0
25328,Book,3,464.0
25528,Book,2,465.0
25665,Music,3,466.0
25670,Book,1,467.0
25746,Book,5,468.0
25767,Book,1,469.0
25781,Book,5,470.0
25913,Book,2,471.0
26037,Book,2,472.0
26055,Book,4,473.0
26108,Book,5,474.0
26158,Book,2,475.0
26384,Book,6,476.0
26437,Book,4,477.0
26512,Music,4,478.0
26518,Book,4,479.0
26550,Book,5,480.0
26561,Music,7,481.0
26642,Book,0,482.0
26729,Book,4,483.0
26785,Book,8,484.0
26825,Book,0,485.0
26826,Book,4,486.0
26897,Music,6,487.0
26905,Book,4,488.0
27002,Video,1,489.0
27152,Music,46,490.0
27211,Video,12,491.0
27412,Music,9,492.0
27479,Book,5,493.0
27489,Book,11,494.0
27543,Music,6,495.0
27603,Music,0,496.0
27624,Book,1,497.0
27639,Book,1,498.0
27645,Book,4,499.0
27650,Book,7,500.0
27782,DVD,9,501.0
27845,Book,2,502.0
27981,Book,2,503.0
28008,DVD,9,504.0
28083,Book,1,505.0
28197,Book,8,506.0
28265,Book,7,507.0
28333,Book,3,508.0
28334,Video,4,509.0
28366,Book,3,510.0
28385,Book,3,511.0
28428,Book,4,512.0
28551,Book,5,513.0
28552,Book,1,514.0
28577,Book,1,515.0
28583,Video,5,516.0
28661,Book,10,517.0
28714,Book,5,518.0
28724,Book,3,519.0
28742,Book,2,520.0
28880,Music,9,521.0
29002,Video,22,522.0
29113,Book,2,523.0
29126,Music,3,524.0
29191,Book,4,525.0
29248,DVD,29,526.0
29256,Book,4,527.0
29257,Book,3,528.0
29370,Book,2,529.0
29452,Music,2,530.0
29575,Book,2,531.0
29576,Book,7,532.0
29580,Book,2,533.0
29752,Music,2,534.0
29767,DVD,16,535.0
29787,Book,4,536.0
29972,Book,2,537.0
29974,Music,7,538.0
29976,Book,5,539.0
30120,Music,4,540.0
30141,Music,3,541.0
30206,Book,4,542.0
30217,Book,7,543.0
30284,Book,2,544.0
30307,Book,3,545.0
30460,Music,4,546.0
30509,Book,5,547.0
30579,Book,0,548.0
30598,Book,2,549.0
30599,Book,7,550.0
30768,Book,2,551.0
30791,Music,2,552.0
30944,Music,3,553.0
30946,Book,0,554.0
30971,Book,2,555.0
31035,Book,2,556.0
31151,Music,5,557.0
31152,Music,5,558.0
31233,Book,4,559.0
31250,Book,3,560.0
31368,Book,16,561.0
31427,Music,2,562.0
31522,Book,6,563.0
31610,Book,5,564.0
31613,Book,4,565.0
31766,Book,4,566.0
31768,Book,5,567.0
31783,Book,0,568.0
31876,Book,8,569.0
32007,Music,2,570.0
32008,Book,4,571.0
32081,Book,4,572.0
32285,Book,3,573.0
32318,Music,7,574.0
32384,Book,3,575.0
32456,Book,0,576.0
32463,Book,7,577.0
32558,Book,3,578.0
32559,Book,5,579.0
32561,Book,3,580.0
32763,Book,0,581.0
32768,Book,3,582.0
32773,Book,2,583.0
32820,Book,4,584.0
32825,DVD,29,585.0
32873,Video,16,586.0
33217,Music,10,587.0
33288,Book,0,588.0
33359,DVD,21,589.0
33360,Music,1,590.0
33394,Book,3,591.0
33402,Book,3,592.0
33485,Book,2,593.0
33627,Book,3,594.0
33651,Book,1,595.0
33722,Music,1,596.0
33730,Book,3,597.0
33818,Book,2,598.0
33839,Book,4,599.0
33841,Music,8,600.0
33879,Music,11,601.0
34064,Book,4,602.0
34111,Music,1,603.0
34123,Book,1,604.0
34130,Book,8,605.0
34152,Book,2,606.0
34190,Book,2,607.0
34267,Book,4,608.0
34271,Book,4,609.0
34276,Book,2,610.0
34302,Video,9,611.0
34367,Book,3,612.0
34392,Book,8,613.0
34445,Book,5,614.0
34446,Book,2,615.0
34455,Book,2,616.0
34475,Music,2,617.0
34515,Book,3,618.0
34537,Book,0,619.0
34759,Book,2,620.0
34822,DVD,22,621.0
34950,Book,5,622.0
34994,Music,7,623.0
35345,Book,1,624.0
35351,Book,3,625.0
35422,Music,4,626.0
35669,Book,1,627.0
36045,Book,3,628.0
36046,Book,5,629.0
36051,Book,5,630.0
36252,Music,8,631.0
36255,Book,0,632.0
36289,Music,12,633.0
36319,Book,3,634.0
36484,Book,4,635.0
36508,Music,2,636.0
36549,Book,8,637.0
36586,DVD,24,638.0
36607,Book,6,639.0
36676,Music,7,640.0
36748,Book,7,641.0
36752,Book,1,642.0
36808,Book,5,643.0
36865,Book,4,644.0
37044,Book,6,645.0
37058,Music,30,646.0
37131,Book,0,647.0
37139,Book,3,648.0
37301,Book,3,649.0
37319,Video,16,650.0
37321,Video,15,651.0
37351,Video,15,652.0
37475,Music,4,653.0
37551,Book,3,654.0
37706,Book,1,655.0
37707,Music,7,656.0
37870,Book,6,657.0
37871,Music,3,658.0
37926,Book,1,659.0
37962,DVD,7,660.0
37965,Book,2,661.0
38027,Music,7,662.0
38042,Book,1,663.0
38151,Book,4,664.0
38248,Book,1,665.0
38250,Book,2,666.0
38468,Book,3,667.0
38699,Music,2,668.0
38700,Book,4,669.0
38743,Book,4,670.0
38837,Book,5,671.0
38839,Book,0,672.0
38919,Book,3,673.0
39009,Book,11,674.0
39038,Video,5,675.0
39112,Book,7,676.0
39113,Book,3,677.0
39266,Music,10,678.0
39284,Book,6,679.0
39286,Book,5,680.0
39378,Book,4,681.0
39855,Book,7,682.0
39863,Book,6,683.0
39927,Music,4,684.0
39988,Book,5,685.0
40018,Book,12,686.0
40104,Music,7,687.0
40128,Book,3,688.0
40129,Book,3,689.0
40259,Book,2,690.0
40453,Book,1,691.0
40486,Book,4,692.0
40543,Book,5,693.0
40549,Music,2,694.0
40550,Book,6,695.0
40564,Book,5,696.0
40592,Book,6,697.0
40788,Video,5,698.0
40789,Book,1,699.0
40790,Music,3,700.0
40843,Book,7,701.0
40874,Book,2,702.0
40931,Book,3,703.0
40936,Book,4,704.0
41010,Book,5,705.0
41085,Video,2,706.0
41187,Music,5,707.0
41189,Music,9,708.0
41265,Book,3,709.0
41270,Book,7,710.0
41287,Book,3,711.0
41544,Music,5,712.0
41621,Book,0,713.0
41768,Book,3,714.0
41863,Book,2,715.0
41981,Book,7,716.0
41994,Book,0,717.0
42089,Book,5,718.0
42175,Book,4,719.0
42268,Book,2,720.0
42426,Music,3,721.0
42452,Book,3,722.0
42455,Music,4,723.0
42510,Music,0,724.0
42567,Book,3,725.0
42610,Book,7,726.0
42689,Book,5,727.0
42705,Book,2,728.0
42713,Book,2,729.0
42719,Book,2,730.0
42724,Book,6,731.0
43005,Book,3,732.0
43063,Music,2,733.0
43085,Book,4,734.0
43289,Book,2,735.0
43308,Book,4,736.0
43345,Music,8,737.0
43659,Book,2,738.0
43730,Book,2,739.0
43739,Book,2,740.0
43832,Book,6,741.0
44193,Book,2,742.0
44253,Book,2,743.0
44255,Book,6,744.0
44269,Book,5,745.0
44402,Music,1,746.0
44506,Book,3,747.0
44637,Book,3,748.0
44677,Book,3,749.0
44738,Book,4,750.0
44741,Video,20,751.0
44911,DVD,8,752.0
44914,DVD,24,753.0
44916,Book,5,754.0
44921,Book,3,755.0
44964,Book,6,756.0
44985,Book,1,757.0
45010,Book,1,758.0
45039,Book,0,759.0
45072,Book,2,760.0
45171,Book,6,761.0
45295,Music,7,762.0
45339,Book,3,763.0
45375,Book,2,764.0
45376,Book,3,765.0
45405,Book,4,766.0
45438,Book,1,767.0
45444,Video,10,768.0
45445,Video,8,769.0
45558,Book,6,770.0
45592,Music,6,771.0
45670,Book,6,772.0
45681,Book,9,773.0
45682,DVD,15,774.0
45808,Book,3,775.0
45908,Book,0,776.0
45910,Book,5,777.0
46153,Book,0,778.0
46192,Music,4,779.0
46515,Book,2,780.0
46774,Book,3,781.0
46843,Book,6,782.0
46984,Book,4,783.0
47210,Book,8,784.0
47305,Book,1,785.0
47342,Book,6,786.0
47625,Book,1,787.0
47637,Book,10,788.0
47658,Book,2,789.0
47758,Book,3,790.0
47778,Music,3,791.0
47779,Book,3,792.0
47803,Book,1,793.0
47821,Book,2,794.0
47857,Book,0,795.0
48033,Book,4,796.0
48085,Book,4,797.0
48190,Music,5,798.0
48198,Book,4,799.0
48354,Book,0,800.0
48493,Book,2,801.0
48517,Music,6,802.0
48519,Book,2,803.0
48613,Book,4,804.0
48668,Book,1,805.0
48875,Book,3,806.0
48894,Book,3,807.0
48944,Book,5,808.0
49195,Book,4,809.0
49262,Book,6,810.0
49275,Book,5,811.0
49315,Book,3,812.0
49350,Book,3,813.0
49365,Book,4,814.0
49403,Book,3,815.0
49482,Book,1,816.0
49627,Music,8,817.0
49764,Book,5,818.0
49877,Music,0,819.0
49939,Book,2,820.0
49940,Book,3,821.0
49942,Book,0,822.0
49943,Book,3,823.0
49949,Book,2,824.0
50088,Book,5,825.0
50089,Book,2,826.0
50195,Book,4,827.0
50197,Music,6,828.0
50201,Music,0,829.0
50271,Book,5,830.0
50273,Music,4,831.0
50332,Video,23,832.0
50379,Book,2,833.0
50503,Book,2,834.0
50504,Book,1,835.0
50645,Book,4,836.0
50760,Music,2,837.0
50811,Video,2,838.0
50868,Music,2,839.0
50941,Book,4,840.0
50970,Music,4,841.0
51009,Book,2,842.0
51010,Book,7,843.0
51042,Book,5,844.0
51162,Book,3,845.0
51264,Book,5,846.0
51344,Video,16,847.0
51348,Music,16,848.0
51356,Book,11,849.0
51403,Book,4,850.0
51424,Book,2,851.0
51894,Music,5,852.0
51932,DVD,1,853.0
51946,Book,2,854.0
51977,Music,5,855.0
52065,Book,5,856.0
52066,Book,2,857.0
52069,Book,4,858.0
52076,Book,6,859.0
52130,Book,4,860.0
52303,Music,8,861.0
52398,Book,1,862.0
52407,Book,4,863.0
52429,Music,0,864.0
52441,Book,2,865.0
52473,Book,8,866.0
52574,Music,1,867.0
52606,Music,15,868.0
52608,Book,1,869.0
52656,Book,8,870.0
52710,Music,7,871.0
52759,Book,2,872.0
52773,Book,7,873.0
52865,Book,2,874.0
52917,Video,4,875.0
52939,Book,7,876.0
52958,Book,3,877.0
52966,Book,1,878.0
53283,Book,4,879.0
53284,Video,16,880.0
53565,Book,3,881.0
53598,DVD,4,882.0
53614,Book,2,883.0
53629,Book,1,884.0
53638,Book,5,885.0
53707,Music,2,886.0
53847,Music,9,887.0
53873,Book,4,888.0
53897,Book,10,889.0
53973,Book,2,890.0
54153,Book,6,891.0
54220,Book,4,892.0
54228,Book,8,893.0
54230,Book,6,894.0
54241,Book,5,895.0
54301,Book,5,896.0
54376,Book,5,897.0
54382,Music,3,898.0
54433,Music,1,899.0
54485,Book,4,900.0
54508,Book,4,901.0
54512,Book,1,902.0
54552,Music,6,903.0
54725,Book,2,904.0
54738,Book,5,905.0
54944,Book,3,906.0
55083,Book,0,907.0
55188,Book,8,908.0
55260,Book,3,909.0
55265,Book,3,910.0
55267,Book,5,911.0
55282,Book,5,912.0
55309,Music,3,913.0
55433,Book,1,914.0
55535,Book,14,915.0
55610,Book,5,916.0
55664,Book,0,917.0
55673,Book,1,918.0
55802,Music,3,919.0
55805,Book,3,920.0
55824,Book,3,921.0
55970,Book,4,922.0
55986,Book,11,923.0
56025,Book,2,924.0
56074,Book,1,925.0
56132,Music,3,926.0
56169,Book,4,927.0
56471,Video,14,928.0
56520,Music,7,929.0
56731,Book,3,930.0
56777,Book,10,931.0
56784,Music,5,932.0
56953,Book,4,933.0
57223,Book,1,934.0
57398,Book,0,935.0
57474,Music,2,936.0
57544,Book,4,937.0
57569,Book,0,938.0
57631,Book,2,939.0
57669,Book,1,940.0
57671,Book,2,941.0
57726,Book,1,942.0
57766,Book,2,943.0
57784,Book,11,944.0
57872,Book,2,945.0
57987,Book,1,946.0
58138,Book,5,947.0
58171,Music,3,948.0
58186,Video,5,949.0
58229,Book,3,950.0
58268,Music,0,951.0
58316,Book,1,952.0
58317,Book,4,953.0
58372,Book,2,954.0
58463,Book,3,955.0
58464,Book,2,956.0
58503,Book,4,957.0
58542,Book,2,958.0
58628,Book,1,959.0
58744,Book,3,960.0
58799,Book,3,961.0
58810,Music,6,962.0
58967,DVD,14,963.0
58979,DVD,5,964.0
59076,Book,5,965.0
59144,Book,3,966.0
59157,Book,5,967.0
59205,Book,7,968.0
59206,Book,2,969.0
59290,Book,2,970.0
59544,Book,1,971.0
59588,Book,5,972.0
59627,Book,4,973.0
59842,Book,7,974.0
59936,Book,1,975.0
59942,Book,2,976.0
60028,Book,10,977.0
60100,Book,1,978.0
60182,DVD,5,979.0
60251,Music,3,980.0
60414,Book,3,981.0
60418,Book,3,982.0
60439,Book,5,983.0
60449,Music,5,984.0
60541,Music,15,985.0
60702,Book,4,986.0
60758,Book,0,987.0
60794,Book,0,988.0
60861,Book,2,989.0
60880,DVD,25,990.0
60891,Book,3,991.0
60934,Music,2,992.0
60935,Music,8,993.0
61101,Music,4,994.0
61102,Book,3,995.0
61158,Book,5,996.0
61248,Book,1,997.0
61270,Book,1,998.0
61340,Book,3,999.0
61625,Video,6,1000.0
61691,Book,3,1001.0
61695,Video,1,1002.0
61697,Book,5,1003.0
61716,Book,6,1004.0
61783,Book,4,1005.0
61795,Book,3,1006.0
61834,Book,8,1007.0
61853,Book,4,1008.0
61921,Book,1,1009.0
62003,Book,3,1010.0
62115,DVD,9,1011.0
62329,Book,2,1012.0
62366,Video,16,1013.0
62588,Book,3,1014.0
62706,Book,3,1015.0
62716,Book,5,1016.0
63016,Book,4,1017.0
63033,Book,2,1018.0
63061,Music,1,1019.0
63063,Video,11,1020.0
63101,Book,2,1021.0
63184,Book,3,1022.0
63395,Video,11,1023.0
63397,Video,11,1024.0
63518,DVD,6,1025.0
63559,Book,5,1026.0
63563,Book,0,1027.0
63622,Book,4,1028.0
63626,Book,2,1029.0
63675,Book,2,1030.0
63691,Book,2,1031.0
63802,Music,20,1032.0
63848,Book,6,1033.0
63850,DVD,10,1034.0
63872,Video,20,1035.0
63902,Music,25,1036.0
63905,DVD,5,1037.0
63976,Book,0,1038.0
63977,Book,4,1039.0
63985,Music,4,1040.0
64117,Book,4,1041.0
64173,Book,2,1042.0
64181,Book,3,1043.0
64190,Book,1,1044.0
64210,Book,7,1045.0
64224,Video,22,1046.0
64502,Book,3,1047.0
64533,Book,3,1048.0
64646,Music,3,1049.0
64750,Book,3,1050.0
64814,Book,2,1051.0
65126,Book,3,1052.0
65140,Book,2,1053.0
65456,Book,5,1054.0
65579,Book,5,1055.0
65619,Book,5,1056.0
65636,Book,2,1057.0
65708,Music,6,1058.0
65715,Book,3,1059.0
65716,Music,13,1060.0
65875,Book,7,1061.0
66020,Book,4,1062.0
66158,Book,1,1063.0
66473,Book,3,1064.0
66549,Book,1,1065.0
66565,Book,8,1066.0
66616,Book,2,1067.0
66796,Video,4,1068.0
66823,Book,4,1069.0
66924,Music,5,1070.0
66951,Book,5,1071.0
66952,Book,4,1072.0
67019,Book,6,1073.0
67020,Book,4,1074.0
67157,Book,4,1075.0
67373,Book,7,1076.0
67533,DVD,9,1077.0
67540,Book,5,1078.0
67549,Book,3,1079.0
67630,Book,3,1080.0
67633,Book,1,1081.0
67710,Book,6,1082.0
67818,Music,4,1083.0
67857,Video,8,1084.0
67888,Book,1,1085.0
67927,Book,6,1086.0
67958,Music,8,1087.0
68302,Book,3,1088.0
68362,Book,5,1089.0
68440,Book,2,1090.0
68459,Book,2,1091.0
68481,Book,6,1092.0
68551,Book,3,1093.0
68553,Book,3,1094.0
68775,Music,4,1095.0
68933,Music,1,1096.0
68984,Book,2,1097.0
69000,Music,8,1098.0
69005,Book,6,1099.0
69184,Book,6,1100.0
69282,Video,15,1101.0
69411,Book,5,1102.0
69484,Book,4,1103.0
69485,Book,7,1104.0
69571,Book,6,1105.0
69576,Music,2,1106.0
69644,Book,4,1107.0
69668,Book,3,1108.0
69774,Book,2,1109.0
69916,Book,0,1110.0
69993,Music,10,1111.0
70036,Book,5,1112.0
70057,Book,3,1113.0
70259,Book,6,1114.0
70269,Music,5,1115.0
70275,Book,2,1116.0
70367,Book,5,1117.0
70461,Book,1,1118.0
70529,DVD,21,1119.0
70596,Book,3,1120.0
70627,Music,8,1121.0
70637,Music,4,1122.0
70642,Book,2,1123.0
70717,Book,2,1124.0
70724,Book,2,1125.0
70739,Book,2,1126.0
70747,Book,2,1127.0
70808,Book,6,1128.0
70834,Book,3,1129.0
70843,Video,12,1130.0
70931,Book,2,1131.0
71042,Music,2,1132.0
71043,Book,2,1133.0
71126,Book,3,1134.0
71151,Book,2,1135.0
71404,Music,0,1136.0
71412,Book,9,1137.0
71545,Book,2,1138.0
71601,Music,6,1139.0
71618,Book,8,1140.0
71669,Book,2,1141.0
71684,Book,2,1142.0
71850,Book,4,1143.0
71945,Music,1,1144.0
71982,Music,3,1145.0
71985,Book,8,1146.0
72097,Book,3,1147.0
72165,Book,3,1148.0
72237,Book,6,1149.0
72240,DVD,10,1150.0
