"","objectId","customerId","date","rating","votes","helpful"
"63",15,"A2IGOA66Y6O8TQ","2002-5-13",5,3,2
"64",15,"A2OIN4AUH84KNE","2002-6-17",5,2,1
"65",15,"A2HN382JNT1CIU","2003-1-2",1,6,1
"66",15,"A2FDJ79LDU4O18","2003-6-7",4,1,1
"67",15,"A39QMV9ZKRJXO5","2003-6-27",4,1,1
"68",15,"AUUVMSTQ1TXDI","2004-2-17",1,2,0
"69",15,"A2C5K0QTLL9UAT","2004-2-24",5,2,2
"70",15,"A5XYF0Z3UH4HB","2004-10-13",5,1,1
"71",16,"A1XPCHKIFECW33","2000-3-28",4,3,3
"72",16,"A17VTMYNK7FHHG","2000-5-3",5,4,3
"73",16,"A331OF34UX4Y1K","2000-11-6",4,3,2
"74",16,"A3KMI0ZF739BW5","2000-12-2",5,4,3
"75",16,"A26BWRBPP4V2WF","2001-10-7",4,5,5
"76",16,"A3AAX9AO0CIFBI","2002-6-18",5,2,2
"77",16,"A2DOKCCVTGTAE2","2002-8-9",5,1,1
"78",16,"A1BVYFPZ0ZAYYV","2004-5-17",3,1,0
"79",17,"A3DMU8D8N76WRH","2002-11-28",5,4,3
"80",17,"AH1H2DBKZ8WFA","2003-10-29",5,3,2
"81",17,"A3S1M10UPEQ3ED","2004-6-6",1,5,4
"82",18,"AKMBV0IV5WIC5","2000-1-1",5,2,0
"83",18,"AKMBV0IV5WIC5","2000-1-1",5,15,14
"84",18,"A3QSUZVVNYZZ7L","2001-2-27",5,6,1
"85",18,"A1HNKSWGRW0YKB","2001-6-28",5,0,0
"86",18,"A1HNKSWGRW0YKB","2001-6-28",5,1,1
"87",18,"ABSIJ0Q8N0VKP","2001-8-13",3,0,0
"88",18,"A388KDPHUB94V3","2001-8-16",5,0,0
"89",18,"ATT0FBIM6YNX7","2001-10-9",5,0,0
"90",18,"A1LFRJ3CSQFCI6","2002-2-7",5,2,2
"91",18,"A1UPGL67SKBSPJ","2003-5-13",5,0,0
"92",19,"A1RLXSCKKMI4KF","2002-3-23",3,9,5
"93",19,"ATS7LYGLUX34L","2002-9-29",5,3,3
"94",19,"ATS7LYGLUX34L","2002-10-3",5,2,2
"95",19,"A3DQ6L24TOMXAZ","2002-11-7",4,10,10
"96",19,"A3M6J4CTJ13QBX","2003-3-17",2,11,4
"97",19,"A4JP4T1F95D0A","2003-12-3",2,0,0
"98",19,"A2S166WSCFIFP5","2004-3-14",4,5,2
"99",19,"ADC571K8L3ZLN","2004-10-20",4,6,6
"100",20,"AWHGCJOOZBTB5","2001-2-8",5,10,10
"101",21,"A1H2SCAYWQLMC0","2000-2-1",5,5,3
"102",21,"A1RPTVW5VEOSI","2000-3-14",4,1,0
"103",21,"AIMBOX2T0HV1H","2000-4-2",4,7,5
"104",21,"A1J3HK3IPLHOJ3","2000-5-25",5,2,2
"105",21,"ATVPDKIKX0DER","2000-5-29",5,1,1
"106",21,"A3NGH3DOKQFCWD","2000-6-20",4,0,0
"107",21,"A3LFRQVRXBTNCG","2000-6-25",5,3,2
"108",21,"A31HYO7EOTZG1Y","2000-6-28",5,0,0
"109",21,"A8473S963WDUZ","2000-6-28",5,0,0
"110",21,"A1L7G9JSLCY384","2000-6-30",5,1,1
"111",21,"AXY18W5QMN7UV","2000-7-2",5,2,2
"112",21,"A2X666IM8DP7PH","2000-8-7",5,1,0
"113",21,"A96DHMTN072M1","2000-9-8",5,1,1
"114",21,"AH64IJELQ4PJN","2000-9-16",5,23,22
"115",21,"A39ABH4E0APOG3","2000-9-20",5,13,13
"116",21,"A2X44DD1TN0P13","2000-9-23",4,0,0
"117",21,"A2AML5BI49ST3F","2000-10-2",5,6,5
"118",21,"AES0JMK0KYYHI","2000-10-2",5,12,10
"119",21,"A16VWWB8G00EPV","2000-10-3",4,6,5
"120",21,"A1BWHXTFOVF9CY","2000-10-8",5,33,32
"121",21,"A1UVMG7COVPLC6","2000-10-10",5,3,3
"122",21,"A2RFZ21T1WOLID","2000-10-18",2,4,2
"123",21,"A2KFUFXQ1YTWNT","2000-10-19",5,7,6
"124",21,"A14QW3EMN8PBZV","2000-11-1",5,1,1
"125",21,"A14QW3EMN8PBZV","2000-11-1",5,8,7
"126",21,"A20EEWWSFMZ1PN","2000-11-25",5,2,2
"127",21,"A22IK3I6U76GX0","2000-12-26",5,4,3
"128",21,"AU8552YCOO5QX","2001-1-7",2,4,0
"129",21,"AA5ELPH4F7AIP","2001-1-15",1,21,3
"130",21,"A324LH8S4C8U4W","2001-4-18",5,1,1
"131",21,"A2D9IEFJGB483Q","2001-5-12",5,3,3
"132",21,"AEXTGSES7BVSV","2001-6-8",5,1,1
"133",21,"A1RT82AIQFRRQS","2001-6-11",5,1,1
"134",21,"ARFBRSE35ZJ6A","2001-6-16",4,3,3
"135",21,"A2ZYH9XRO507OB","2001-6-25",5,1,1
"136",21,"A3HPOCPJJQNMWN","2001-7-3",5,3,2
"137",21,"A3LFZOAGD8JTE9","2001-7-7",5,3,0
"138",21,"A20IOTRKF4YRM7","2001-8-3",5,0,0
"139",21,"A1BRXLFWILNICE","2001-8-19",5,10,10
"140",21,"A3VXU7BEE97UUG","2001-9-17",1,7,0
"141",21,"A2B8DJ0CKN9FAO","2001-9-29",5,3,2
"142",21,"AGOG7P9R8NZ7T","2001-10-8",5,3,1
"143",21,"A3ICHEO78NFE4Y","2002-2-6",5,1,1
"144",21,"A2D75DJ707PFI9","2002-2-9",5,4,3
"145",21,"A92LD431P843F","2002-2-24",5,8,7
"146",21,"A2YD21XOPJ966C","2002-3-7",5,7,5
"147",21,"A1HY9XRPW8N2HN","2002-3-12",4,3,2
"148",21,"A1J2931UBBJPXM","2002-3-13",4,3,3
"149",21,"A13PCJSIRWAKHE","2002-3-15",5,3,2
"150",21,"A2WZ1B92F81LJJ","2002-3-16",4,2,2
"151",21,"A3UF0YWSR4I2HL","2002-3-31",5,4,2
"152",21,"A25JH6CO4DVINS","2002-4-2",4,6,4
"153",21,"A106FE8HPE6LK6","2002-4-5",4,4,3
"154",21,"A1T0Z4J5PPLTC7","2002-4-17",4,11,8
"155",21,"A24FSR37TN4MSF","2002-4-28",5,5,3
"156",21,"A3NOIRVMZQEBQ9","2002-5-9",1,19,2
"157",21,"A1APMHP8DPIS3G","2002-5-25",5,3,1
"158",21,"A3RRBPUGD7UOSP","2002-5-28",5,3,0
"159",21,"A1GGHFJL5TSU5J","2002-6-3",5,3,1
"160",21,"A2CXT3A901DGMP","2002-6-27",4,2,1
"161",21,"A2W00XKTTF1G0Z","2002-7-1",5,12,10
"162",21,"A31RM5QU797HPJ","2002-7-19",4,5,1
"163",21,"A2IMHV5ZARXIDR","2002-8-2",5,4,3
"164",21,"A3P121GNV5QYIN","2002-8-3",5,2,1
"165",21,"A3P121GNV5QYIN","2002-8-5",5,4,4
"166",21,"A3O2RCKAMSE9X7","2002-8-10",5,5,4
"167",21,"A13JQOKQVCMN9U","2002-8-21",5,4,2
"168",21,"A27QZDO1FRRFCV","2002-8-31",4,5,1
"169",21,"A3439X75UP0Q3G","2002-9-16",4,2,1
"170",21,"A1I7GHG2XNYO3J","2002-9-24",5,2,1
"171",21,"A3D550GH0U6T5C","2002-9-30",5,2,2
"172",21,"A2RD0B8LLOSMCQ","2002-10-2",3,6,4
"173",21,"A2SGR7LE899LGG","2002-10-19",5,2,1
"174",21,"AYPCUQS6ARWFH","2002-10-21",4,7,7
"175",21,"A2XLGLF0V4O7JD","2002-11-27",5,1,1
"176",21,"A2KVUYPLEW4LXT","2002-12-14",5,5,5
"177",21,"AJYGQV81FSFE2","2002-12-23",4,2,2
"178",21,"A1SWK29E1MZHI6","2003-1-12",5,1,1
"179",21,"A2NJO6YE954DBH","2003-2-1",4,8,6
"180",21,"A2AOZQ3WTNVVOK","2003-2-14",5,7,7
"181",21,"A3CS4JXY9KJ5G5","2003-2-26",5,4,4
"182",21,"A3DSU63A9Z43KN","2003-3-13",5,2,2
"183",21,"A10DB0H2NZF11E","2003-4-14",5,2,1
"184",21,"AAYW1H4SMNOI","2003-4-26",5,6,5
"185",21,"A1J83NE4U6IL7","2003-5-7",5,10,0
"186",21,"AW1GHENIL5V5G","2003-5-18",5,0,0
"187",21,"A2SGR7LE899LGG","2003-5-27",5,0,0
"188",21,"A1HVZ0569ZHZW9","2003-6-8",5,1,0
"189",21,"A2Q13PHEXGR48Q","2003-7-6",4,1,1
"190",21,"A3N9CZ1RK4OTYE","2003-7-13",4,0,0
"191",21,"A2QA095LQPDBJD","2003-7-22",4,3,1
"192",21,"ALWB64XOXNMDP","2003-7-25",5,2,1
"193",21,"A9UU8OR0TBMHE","2003-8-22",5,3,2
"194",21,"A8PZDIAF0NTIS","2003-10-15",5,1,1
"195",21,"A2OVUDBRWGX0LL","2003-10-30",4,9,7
"196",21,"A2ZSC81MXLBELX","2003-11-7",5,24,24
"197",21,"A2CKARIIFUAOP0","2004-1-29",5,2,1
"198",21,"A3UO0OJYKEL0QN","2004-2-14",3,4,1
"199",21,"A3ASR7JA7MPKW4","2004-2-27",5,3,3
"200",21,"A13PAFCVMB1DV8","2004-3-29",3,7,2
"201",21,"A3W18T2ITHXW5O","2004-4-8",2,7,1
"202",21,"A1BVV2K1BKGPD5","2004-4-22",5,3,2
"203",21,"A3LZGLA88K0LA0","2004-5-15",5,1,1
"204",21,"A2RRCZLVCA7A7","2004-5-20",4,2,2
"205",21,"A17U4YXN5G7UAP","2004-5-24",4,0,0
"206",21,"A3160YSU1KRL8E","2004-7-2",5,1,1
"207",21,"AIOXMENE1HBR7","2004-7-5",5,3,3
"208",21,"A3FITKYQQYGRXG","2004-7-17",5,5,4
"209",21,"AAECAHBNP1VD2","2004-8-15",4,8,7
"210",21,"A2JV8PH4NGQPJ6","2004-10-13",5,28,25
"211",21,"A1P1T0PFD4F0VS","2004-12-3",5,1,1
"212",21,"A1JY13815273PS","2004-12-13",5,5,4
"213",22,"AAM7TSZHVVCAL","2001-10-13",4,7,6
"214",22,"A33Z7JTV7SSW9Y","2002-1-30",3,3,1
"215",22,"A1LVL0G0QNPAGI","2002-3-10",5,6,6
"216",22,"A17T39AXANC7S","2002-4-16",5,9,8
"217",23,"AA90ANPKJB452","2001-6-14",4,4,1
"218",23,"A382XQ7SYXEW1Q","2001-8-20",2,2,2
"219",23,"A12MOYPCEJUGW6","2002-8-5",3,0,0
"220",24,"A1VFKMHY42W2O3","2001-5-4",5,0,0
"221",25,"A3293YQUH9SFNJ","2001-2-14",4,9,4
"222",25,"A2G358G53L7W5E","2003-9-25",3,9,3
"223",26,"A1SMZFT2R1QBRW","2002-4-28",4,7,4
"224",27,"A1J0UKHJCBDLBE","2000-4-25",4,2,2
"225",27,"A3EFCK0HZQPNQI","2004-3-2",2,1,0
"226",31,"AKXAJRF2AKZOH","2001-8-30",5,5,5
"227",32,"A2I9I77KMEBA4S","2000-12-31",4,50,48
"228",32,"A1ANWZQ24OC744","2001-2-22",5,14,8
"229",32,"A2NF3S0T3TRSMW","2001-3-11",4,15,14
"230",32,"A1GAUV5YKHWDWI","2001-4-15",5,4,4
"231",32,"A3NHBZ7KZA75YV","2001-6-4",5,27,26
"232",32,"ATLOWYOXIYLT5","2001-8-10",5,12,11
"233",32,"AN2IZT80ZUNJN","2001-9-25",5,19,19
"234",32,"A3OIVL0JOA7OEK","2001-12-2",5,33,32
"235",32,"A1WZQJW5SILMKS","2004-5-13",4,4,4
"236",32,"A29LTLDS2ZLTUU","2004-7-23",5,2,2
"237",33,"A3UN6WX5RRO2AG","2002-9-28",5,7,3
"238",33,"A1P2QBVLWTN7JP","2002-10-28",5,3,3
"239",33,"A3UN6WX5RRO2AG","2002-11-16",5,0,0
"240",33,"A2IV3J5RP4MER2","2004-12-2",5,0,0
"241",34,"A1Z5TNULKBBUQ2","2000-6-6",3,6,4
"242",34,"A36EDWL4F3AASU","2002-11-1",4,4,1
"243",34,"A3EZ2PLA8AFPIF","2003-11-30",3,1,1
"244",34,"A3464G00K8ZYD1","2004-7-28",5,1,0
"245",35,"A2DYLAEL90LIKD","2000-5-18",4,3,3
"246",35,"A3OJAWIMUKNHTP","2001-3-24",5,1,1
"247",35,"A36MQW22BD8LJU","2001-5-3",5,0,0
"248",35,"A3R7JTZHD4JL3J","2003-3-11",3,0,0
"249",35,"A4H4KYSM2KQ85","2004-2-22",5,0,0
"250",37,"A1791R558AL0W3","2000-12-9",5,5,1
"251",37,"A2CFI1ERHLB1RJ","2001-7-3",4,4,3
"252",37,"A1BBDOXVK6DL7S","2003-1-3",1,25,1
"253",37,"A7CQUTUQLSVES","2003-2-5",5,1,0
"254",37,"A2Q1OKRYX8STDP","2003-11-10",5,0,0
"255",37,"A3L5965NY9SJAX","2004-8-1",1,7,1
"256",38,"A1BHC7EOK7NBZP","2000-5-22",5,28,28
"257",38,"A1RD3YPSB9RP5X","2000-11-7",4,11,7
"258",38,"AK81WLVD5KGUX","2001-11-14",5,10,8
"259",39,"A37YGFDEME1FC5","2000-5-24",1,4,4
"260",39,"A1X4MP1TV1SICV","2000-6-29",2,1,1
"261",39,"A3J8QBBRL46I3G","2000-7-14",4,12,12
"262",39,"A2PBWHRZ5LDMB2","2000-7-31",4,17,13
"263",39,"A3OWQALP4WBX3","2000-8-2",2,5,3
"264",39,"A1TORR3I04X1E4","2000-8-12",5,8,5
"265",39,"A2WODBTSVEKOI","2000-11-25",2,8,6
"266",39,"A30J0F40NNYKEQ","2001-5-17",5,4,2
"267",39,"AOUJJ4ENAEUD9","2001-5-22",2,16,9
"268",39,"A6M0811ZCQMSC","2001-6-18",4,5,4
"269",39,"AV7OIUTLDFZR0","2002-7-7",2,5,1
"270",39,"A37CXU92U7FYJH","2003-4-16",4,5,3
"271",39,"A2D7X9N3IV3S7B","2003-8-20",2,3,1
"272",39,"A3VREOCVARPZRM","2004-11-2",5,1,1
"273",40,"A1R4KVFUPXWLAX","2001-5-20",5,0,0
"274",40,"A1R4KVFUPXWLAX","2001-5-20",5,2,2
"275",40,"A3ULZJKFNGC1A3","2001-6-2",5,1,1
"276",40,"A1BLR2FONEIXK7","2001-6-5",5,1,1
"277",40,"A1RAEJT0EYUVP2","2001-6-15",5,1,1
"278",40,"A3US58LHHTPQAG","2001-7-5",5,0,0
"279",40,"A3US58LHHTPQAG","2001-7-5",5,3,2
"280",40,"AYTP0O6GUC14C","2001-10-29",4,0,0
"281",42,"A2R3FDDGZG7K9E","2000-4-26",5,4,4
"282",42,"A1K548TDR33DMN","2000-7-2",5,2,1
"283",42,"AYRNJNRVQF7MA","2000-8-20",5,6,5
"284",42,"A21FBLLPSKY2V2","2001-4-24",4,7,5
"285",42,"A33EW6QSGTGQ4D","2001-4-29",3,2,1
"286",42,"A3ORIJSCN4CS66","2001-5-9",4,4,2
"287",42,"AFOK05KDCHSHL","2001-6-17",2,11,9
"288",42,"A9U1ZILPIOEFH","2002-2-24",4,1,1
"289",42,"A3UE48FJ4CHIJF","2002-6-18",5,1,1
"290",42,"AOTWJS0AJHHWY","2002-12-21",5,2,0
"291",42,"A2YP4457Z0U6S4","2003-1-10",5,5,4
"292",42,"A30OND5T0XOA6F","2003-7-5",1,11,0
"293",42,"ABICMG56FAW08","2004-1-21",2,9,0
"294",42,"A3LD9XW7N5ORG7","2004-1-22",4,2,1
"295",42,"A2QZQA4BEMVM3W","2004-5-17",5,0,0
"296",42,"A21VK7VI22FCL2","2004-6-12",5,0,0
"297",42,"A16CZRQL23NOIW","2004-8-30",5,6,6
"298",43,"A3FWZ99GUDAJ3L","2003-9-17",4,6,4
"299",44,"A3VIQXWZ00FM6E","2000-4-23",5,25,11
"300",44,"A3L6P4DGHSP9PC","2001-7-8",4,8,1
"301",44,"A2DYJR90XLQ6PY","2001-8-20",5,8,1
"302",44,"A2E0CB9F9BMXUJ","2001-8-22",2,33,30
"303",44,"A1TEZARFTKHG29","2002-4-30",4,3,2
"304",44,"A16DMCKV9RMQGI","2002-11-23",5,8,8
"305",44,"A3DM6UGX44NJ9K","2003-5-29",4,21,21
"306",44,"A2WTB8WJN31OH6","2004-2-11",4,3,3
"307",44,"AWXH63WE2TL2S","2004-4-30",5,11,11
"308",44,"A2GUHUNN4X6M5Q","2004-5-22",5,4,2
"309",44,"A2SKPM0H369TGN","2004-12-25",3,3,3
"310",44,"A1EMDSTJDUE6B0","2004-12-29",5,0,0
"311",44,"A2UM0CAKYNUQKY","2004-12-30",4,0,0
"312",45,"A2M33CL7LTK7R1","2002-7-30",5,11,11
"313",45,"A1Z55JMTYAYE8Q","2002-11-12",3,6,4
"314",45,"A2K0JZN74WFCYO","2002-11-22",3,4,2
"315",45,"AXUGBW2MAZ10Y","2003-5-11",5,0,0
"316",47,"AY5IRCVSAB5AR","2000-5-22",5,4,4
"317",47,"A21YWWE6QOL810","2001-1-20",5,4,2
"318",47,"A1Z6QIRIRQA4JR","2004-2-18",5,4,4
"319",50,"A3711ET9XQ8BKP","2001-11-5",5,2,2
"320",51,"A16H5HMW6NBMLY","2000-2-16",4,8,3
"321",51,"A3BTDM4SYY7KM1","2000-9-23",5,12,11
"322",52,"A954YZXP16G6F","2000-3-8",5,5,4
"323",52,"A15AYFRMBYCQFT","2003-11-15",5,3,3
"324",52,"A35WEFW2XENAH8","2004-10-21",5,0,0
"325",53,"A2MENII2EKMCQZ","2000-4-4",5,2,2
"326",54,"A2EUDRC2ZFDGHX","2002-2-15",5,3,1
"327",54,"ATIELKSQU2A4V","2004-9-27",5,1,0
"328",55,"A3UN6WX5RRO2AG","2000-10-9",4,3,1
"329",57,"A2SKMDEWRJAZ07","2003-11-14",1,0,0
"330",59,"A1AXDPUTA9V3U7","2000-8-4",5,14,14
"331",59,"AYRDHOZM1GYXU","2000-8-25",5,19,18
"332",59,"A34D9Q0JTF7N7K","2002-7-2",1,16,2
"333",60,"AVAK1DJCNUFB1","2000-8-13",5,9,9
"334",60,"ATCM0QLA5R2LE","2001-10-15",5,8,8
"335",63,"A1M3DZRGBV06MV","2000-7-12",5,28,27
"336",63,"ATVPDKIKX0DER","2000-11-27",5,22,20
"337",63,"A30OC10JLSPBPQ","2001-5-20",5,13,13
"338",64,"A1VUK87IQQ7P16","2001-12-7",2,5,5
"339",64,"A2IMNFWAU6X3OJ","2001-12-16",2,9,8
"340",64,"A96K1ZGW56S2I","2001-12-19",5,2,1
"341",64,"A25KKXUQQ0OLWB","2001-12-30",4,2,0
"342",64,"A10EH95EUDO9W3","2003-1-7",3,0,0
"343",64,"A1NVP5T1IWC897","2003-12-7",2,0,0
"344",66,"A1A9EKSA54WLSX","2003-5-28",4,2,2
"345",66,"ABN5K7K1TM1QA","2003-11-12",4,13,13
"346",66,"A7GSGC0G8R6PW","2004-1-20",4,2,2
"347",66,"A2O2CKQ31ISL80","2004-6-27",4,1,1
"348",67,"A1ABU5ELQQGNX6","2003-9-18",5,0,0
"349",68,"A1AS0CP6B03VQN","2004-6-29",5,10,10
"350",71,"A1G9IV3IBW8WMP","2001-3-18",5,14,13
"351",72,"A3R2M6DGECQOO","2002-10-29",5,45,45
"352",72,"A3DHHQ2NGXOUAH","2003-5-19",5,47,46
"353",73,"AEPMTJ3IKIFC1","2000-6-15",5,4,3
"354",73,"A254R1T0K6CLP6","2000-11-7",3,11,3
"355",74,"AT8EFY0DXT7UT","2002-4-10",4,17,15
"356",74,"A2NYK9KWFMJV4Y","2004-6-29",4,9,8
"357",75,"A3J8CSV0X3DBRF","2000-3-29",5,6,0
"358",75,"A9D8VW6KQD8O","2000-6-1",4,9,3
"359",75,"ACCD886V4038J","2002-4-16",5,2,2
"360",75,"A1J5XKY649DQF5","2003-1-11",4,0,0
"361",75,"AYTTBFL34EVAD","2003-2-22",5,3,3
"362",75,"AHDBEIR9YT1QB","2004-12-21",4,0,0
"363",77,"AFVQZQ8PW0L","2001-5-12",5,13,12
"364",77,"A3MUJDPC7D1NUQ","2001-6-14",5,11,11
"365",77,"AZNH6NRP6PVYR","2001-6-27",5,1,1
"366",77,"AP9A8TDKR7J0L","2001-7-3",5,8,8
"367",77,"A4HELS2BLD8B3","2001-7-24",3,9,5
"368",77,"A1OJZTKVC9S108","2001-10-12",5,8,8
"369",77,"A17XO9W1VDXNXW","2002-1-9",5,7,7
"370",77,"A248BODXPA8T3W","2002-6-10",5,6,6
"371",77,"AX1TW56QZFTBM","2002-10-11",5,3,2
"372",77,"A3RPC8MTE5QALK","2003-2-9",5,5,5
"373",78,"A3FQJ2QCL31JDU","2000-7-17",3,12,7
"374",78,"A14FQB72UBJQSD","2001-8-31",5,15,12
"375",79,"A385S3LG1PNN9Q","2003-6-21",3,5,5
"376",79,"A2YEDXP95DV30E","2003-7-8",5,0,0
"377",79,"A1SLZ560SVRJNY","2003-8-12",5,1,1
"378",79,"A3X04KYDPLMZU","2003-8-29",4,2,1
"379",79,"ALSH7LB5K18GU","2003-9-9",5,5,5
"380",79,"A1UYCXUDL814XB","2003-11-2",5,3,3
"381",79,"A2ANZOPYHYWH44","2004-1-2",1,8,2
"382",79,"A1PTDSN30I534Y","2004-1-15",5,9,9
"383",79,"A33MGG0ZGPI79S","2004-5-30",5,4,4
"384",79,"A33MGG0ZGPI79S","2004-5-30",5,3,3
"385",79,"A3VQ12Q54BVGI6","2004-9-12",5,4,4
"386",80,"A33VWOTXYD2NR9","2001-6-6",5,6,6
"387",81,"A349UESOY8XSUQ","2000-1-5",3,8,4
"388",81,"A3VOVOJ78T1FYY","2000-2-1",5,4,1
"389",81,"A1Y37HNNB6XMN8","2000-2-9",5,4,1
"390",81,"ATRYT5ZKNLN9C","2000-3-16",5,4,3
"391",81,"A11NH0A73VNNA6","2000-3-21",5,1,0
"392",81,"A3VLMUKRW1BBUR","2000-3-22",2,1,1
"393",81,"A36WKP9YQXFZNX","2000-4-6",5,5,0
"394",81,"A1ANMG6YDF9RU1","2000-4-8",5,2,1
"395",81,"A1TBZHX23BNA5B","2000-4-11",1,9,5
"396",81,"A3R2YB0WTTB0IJ","2000-4-23",5,4,1
"397",81,"A17A2F7CPIJBLI","2000-6-4",5,17,14
"398",81,"A1L1TJEW0W60E0","2000-7-19",3,0,0
"399",81,"A2R4L2XSML6GPQ","2000-8-14",5,2,2
"400",81,"A32C29HM5ADRT9","2000-8-30",5,0,0
"401",81,"A1HPB3F2IJF6B0","2000-9-24",4,1,0
"402",81,"A1KBI9O68N00IA","2000-10-12",5,0,0
"403",81,"ASSAVTFQJZCME","2000-10-19",5,2,2
"404",81,"AHYPS5FZPVSEW","2000-10-26",1,15,6
"405",81,"A2XFWLFC8TAB46","2001-1-7",5,0,0
"406",81,"A20VFCXL6VGKNN","2001-1-14",4,1,1
"407",81,"A2K5CEWR1KRWEL","2001-1-28",5,2,0
"408",81,"A18BV4O63DOWNH","2001-1-29",1,19,5
"409",81,"A3QDO6WALAN789","2001-1-30",5,2,0
"410",81,"A14OC67MXL92FA","2001-2-7",3,5,4
"411",81,"A84UFSF2SZS2W","2001-2-10",2,5,0
"412",81,"AZ7Z086INX7DQ","2001-2-11",1,7,2
"413",81,"A35LNYJ3TLS487","2001-2-13",5,3,1
"414",81,"AI3PFAMR6RCL8","2001-2-13",2,20,1
"415",81,"A3N3SN2DDD4HCJ","2001-2-23",5,11,9
"416",81,"AP286ZV19SLC6","2001-3-6",5,11,11
"417",81,"A3HACSQO6Y6YOX","2001-3-14",5,3,3
"418",81,"A1KY8HE1WK0SJB","2001-4-13",5,7,0
"419",81,"A2TSX4GQ0VD2BF","2001-4-27",3,1,1
"420",81,"AW04WZ0PGDZX1","2001-4-29",5,3,1
"421",81,"AHIQNPZUXCAFF","2001-5-7",3,0,0
"422",81,"AHIQNPZUXCAFF","2001-5-7",3,2,1
